Gene	F56	F91	F101	F98	F26	F54	F11	F40	F17	F52	F34	F82	F74	F22	F53	F75	F36	F92	F63	F64	F59	F69	O1	F89	F67	F104	F31	F68	F16	F76	F15	F47	F14	F42	F21	F50	F32	F87	F25	F58	F39	F61	F12	F60	F100	F23	F70	F37	F84	F20	F95	F90	F30	F79	F94	F71	F102	F44	F103	F18	F45	F33	F88	F19	F51	F65	F93	F29	F81	F49	F38	F83	F27	F55	F43	F97	F96	F28	F62	F99	F35	F78	F85	F86	F57	F13	F41	F48	F24	F80	F66	F72	F73	F77
tet(T) 1_L42544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	2	0	0	2	0	0	0	0	0	0	0	0	2	2	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
tet(T) 2_AY660530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0
tet(W) 1_DQ060146	1646	1016	1722	2544	2190	1052	2750	4110	4372	2118	970	714	6158	1370	2770	2052	410	2096	3384	7226	2676	1568	1392	2176	2956	1494	2186	1648	1662	3084	2292	3868	2316	800	1302	868	1768	1966	1564	1498	1054	2186	1686	1574	2012	1270	3070	488	1178	2218	1720	1190	774	664	1562	3032	1018	1074	1360	1624	646	1974	2296	2096	1100	4028	2514	3164	2404	4640	78	570	1316	1210	3264	1472	4300	3448	3084	766	738	4002	1654	990	4214	3508	2702	2550	1572	660	1850	644	1582	1044
tet(W) 2_AY049983	262	194	436	744	532	256	598	900	1056	568	274	130	1508	244	644	464	108	370	752	1426	518	428	398	542	770	352	450	396	398	742	504	828	582	188	294	190	346	418	328	266	166	420	290	314	410	278	656	114	290	450	402	226	202	174	364	654	204	254	332	314	134	482	482	424	312	684	602	560	466	890	24	120	310	252	802	416	862	644	706	214	186	1104	434	156	1102	718	664	556	440	138	430	148	500	260
tet(W) 4_AJ427422	1866	1138	1888	2926	2478	1234	3184	4752	4660	2638	1234	762	7072	1472	3278	2408	462	2310	4162	8586	3226	1898	1616	2514	3656	1742	2306	2168	1880	3396	2556	4592	2672	868	1418	950	2060	2198	1712	1936	1302	2480	1912	1880	2410	1420	3482	606	1450	2322	2080	1268	900	758	1788	3776	1364	1176	1558	1872	846	2272	2530	2358	1278	4574	2924	3662	2784	5046	100	666	1538	1246	3744	1674	4826	3670	3512	930	948	4516	1834	1136	5210	3936	3118	3042	1780	816	2254	744	2002	1256
tet(W) 5_AJ427421	1766	974	1820	2568	1996	1064	2824	4242	4246	2244	1030	740	6058	1242	2974	2136	460	2120	3640	7490	2712	1526	1340	2232	3096	1458	2130	1694	1596	2932	2384	4132	2394	680	1316	908	1752	1864	1404	1590	1200	2266	1618	1600	2082	1174	3122	552	1228	2038	1770	1166	788	726	1514	3318	1190	1096	1364	1614	742	2018	2294	2128	1068	4060	2456	3262	2344	4582	76	552	1112	1070	3492	1436	4168	3280	3004	842	866	4156	1520	982	4460	3388	2682	2738	1620	748	1926	646	1646	1122
tet(W) 6_FN396364	3114	1776	3418	4696	3408	1804	4230	6836	6206	3648	1786	1208	11806	2224	5170	3832	816	4174	6178	12824	4752	2624	2122	3494	5488	2766	3256	3174	2082	5478	3370	6466	3764	1286	1924	1376	2852	3064	2248	2626	1806	3438	2486	2564	3482	2164	5272	908	2214	3360	3314	1994	1240	1162	2786	5580	1886	1764	2506	2600	1198	3614	3802	3214	1874	7832	4006	4766	4320	7552	190	1018	1874	1636	5706	2382	7490	5492	5552	1272	1408	6888	2770	1668	7890	5736	5558	4502	2208	1112	3162	950	2556	1632
tet(X) 1_GU014535	26	196	86	32	134	72	34	22	74	46	30	26	370	26	98	74	16	76	62	314	210	18	18	32	318	58	64	60	12	386	72	74	20	6	152	126	480	436	16	66	196	30	182	102	128	2	24	28	28	78	40	16	118	120	78	330	62	84	14	140	102	346	590	30	20	218	46	104	54	208	0	10	42	22	76	24	100	122	52	18	38	154	32	54	754	36	30	164	92	28	26	12	2	54
tet(X) 2_M37699	86	444	240	66	332	164	72	58	174	98	70	78	988	76	256	192	48	204	92	836	688	82	26	112	900	116	176	164	26	1026	122	218	66	16	198	146	1018	796	62	248	154	72	386	246	362	14	60	76	88	188	82	48	284	346	270	902	220	256	58	308	284	950	1012	76	36	754	118	242	146	474	2	22	76	72	220	62	220	308	156	78	82	558	68	158	1796	142	70	346	80	36	74	22	8	108
tet(X) 3_AB097942	2	6	0	2	6	12	0	0	6	10	2	0	20	2	0	0	0	0	0	0	12	4	4	0	6	2	4	2	4	10	12	2	6	0	20	18	48	54	2	4	32	6	6	0	8	0	6	0	2	4	0	0	4	2	6	2	0	0	4	12	2	22	40	0	0	4	2	0	0	16	0	2	2	0	2	0	10	0	0	2	0	4	0	0	42	0	0	6	6	2	0	0	0	2
